"WaferNumber: Ascending","X: Descending","Y: Descending",HBin
10,1,13,39
10,1,14,39
10,1,18,20
10,1,15,11
10,1,16,11
10,1,17,10
10,4,26,39
10,4,28,18
10,4,12,12
10,4,25,11
10,4,22,10
10,4,16,5
10,4,4,3
10,4,5,1
10,4,6,1
10,4,7,1
10,4,8,1
10,4,9,1
10,4,10,1
10,4,11,1
10,4,13,1
10,4,14,1
10,4,15,1
10,4,17,1
10,4,18,1
10,4,19,1
10,4,20,1
10,4,21,1
10,4,23,1
10,4,24,1
10,4,27,1
10,6,24,39
10,6,17,25
10,6,12,11
10,6,18,11
10,6,29,11
10,6,2,10
10,6,16,5
10,6,28,5
10,6,20,3
10,6,3,1
10,6,4,1
10,6,5,1
10,6,6,1
10,6,7,1
10,6,8,1
10,6,9,1
10,6,10,1
10,6,11,1
10,6,13,1
10,6,14,1
10,6,15,1
10,6,19,1
10,6,21,1
10,6,22,1
10,6,23,1
10,6,25,1
10,6,26,1
10,6,27,1
10,7,30,39
10,7,2,25
10,7,1,11
10,7,3,11
10,7,9,11
10,7,17,11
10,7,4,3
10,7,8,3
10,7,16,3
10,7,18,2
10,7,5,1
10,7,6,1
10,7,7,1
10,7,10,1
10,7,11,1
10,7,12,1
10,7,13,1
10,7,14,1
10,7,15,1
10,7,19,1
10,7,20,1
10,7,21,1
10,7,22,1
10,7,23,1
10,7,24,1
10,7,25,1
10,7,26,1
10,7,27,1
10,7,28,1
10,7,29,1
10,8,2,39
10,8,21,39
10,8,15,11
10,8,18,11
10,8,4,10
10,8,5,10
10,8,23,10
10,8,26,10
10,8,10,7
10,8,6,5
10,8,25,2
10,8,3,1
10,8,7,1
10,8,8,1
10,8,9,1
10,8,11,1
10,8,12,1
10,8,13,1
10,8,14,1
10,8,16,1
10,8,17,1
10,8,19,1
10,8,20,1
10,8,22,1
10,8,24,1
10,8,27,1
10,8,28,1
10,8,29,1
10,8,30,1
10,9,29,39
10,9,20,22
10,9,28,12
10,9,16,11
10,9,2,10
10,9,6,10
10,9,25,5
10,9,5,3
10,9,22,3
10,9,3,1
10,9,4,1
10,9,7,1
10,9,8,1
10,9,9,1
10,9,10,1
10,9,11,1
10,9,12,1
10,9,13,1
10,9,14,1
10,9,15,1
10,9,17,1
10,9,18,1
10,9,19,1
10,9,21,1
10,9,23,1
10,9,24,1
10,9,26,1
10,9,27,1
10,10,28,39
10,10,3,12
10,10,10,11
10,10,5,10
10,10,25,10
10,10,18,5
10,10,14,3
10,10,4,1
10,10,6,1
10,10,7,1
10,10,8,1
10,10,9,1
10,10,11,1
10,10,12,1
10,10,13,1
10,10,15,1
10,10,16,1
10,10,17,1
10,10,19,1
10,10,20,1
10,10,21,1
10,10,22,1
10,10,23,1
10,10,24,1
10,10,26,1
10,10,27,1
